Number of Ingredients,Number of Recipes
0,6
1,6
2,23
3,42
4,119
5,178
6,313
7,371
8,500
9,555
10,618
11,587
12,596
13,552
14,472
15,415
16,357
17,258
18,185
19,171
20,108
21,88
22,86
23,63
24,37
25,40
26,24
27,32
28,13
29,17
30,10
31,6
32,5
33,5
34,2
35,1
36,2
37,3
38,1
39,1
41,1
43,1
45,1
